ypos,actual,predicted,country
97,97,64.34065754,United Kingdom
83,83,65.31923601,Denmark
80,80,58.14406343,France
73,73,65.82639805,Finland
72.2,72,64.92954518,Australia
71.6,72,65.18079557,New Zealand
71,71,71.98464639,Norway
70,70,80.79822194,United States
69,69,65.4891516,Germany
68,68,48.89270978,India
66,66,38.95808408,Colombia
66,66,53.23952711,Czech Republic
66,66,72.92849286,Sweden
66,66,48.48226695,Uruguay
64.3,64,67.55532986,Iceland
63.7,64,65.67235001,Netherlands
64,64,40.47019155,Romania
61,61,48.49641436,Chile
61,61,60.82712119,Japan
59,59,59.22326849,Austria
59,59,66.39102061,Canada
58,58,68.51245429,Switzerland
55,55,53.30346273,Italy
54.3,54,46.70117449,Brazil
54,54,49.32913032,Slovenia
53,53,57.68058284,South Korea
53,53,41.05336703,Mexico
53,53,34.07965604,Turkey
51.6,52,56.33648465,Malta
52.1,52,55.19391698,Spain
51,51,47.74937234,Latvia
50,50,34.47940856,Georgia
48.4,48,44.25482079,Hungary
48,48,61.68600087,Ireland
48,48,47.79360444,South Africa
47,47,50.39338054,Portugal
46,46,53.35877814,Israel
45,45,26.00864664,Pakistan
45,45,35.42627008,Paraguay
44,44,31.99611752,Ecuador
44,44,39.37255155,Moldova
43,43,40.38711425,Indonesia
43,43,42.17441752,Jamaica
43,43,31.12757705,Russia
42,42,40.63021865,Argentina
42,42,46.68299359,Poland
42,42,39.55605274,Serbia
41,41,41.62912926,Bulgaria
41,41,42.77619101,Croatia
39,39,54.18602375,Belgium
37.5,38,48.4863781,Costa Rica
38.5,38,45.47235421,Greece
38,38,46.92019378,Hong Kong
37,37,44.58314167,China
37,37,35.81605901,El Salvador
36,36,25.81367527,Burkina Faso
36,36,35.00700569,Thailand
35,35,37.49298624,Macedonia
35,35,45.83617524,Slovakia
34.4,34,30.41878716,Bangladesh
34,34,26.05044206,Nepal
34,34,34.2443501,Senegal
34,34,45.75134692,Singapore
34,34,36.24249606,Tunisia
33,33,32.97227392,Guatemala
32,32,46.63134484,Lithuania
31,31,37.78973956,Philippines
29,29,25.60824622,Nigeria
28,28,24.54360799,Rwanda
28,28,29.39620404,Saudi Arabia
27,27,28.03398048,Cambodia
27,27,33.74753618,Zambia
26,26,24.14068355,Cote d'Ivoire
25,25,25.05947802,Egypt
25,25,27.34253402,Morocco
25,25,42.66504698,Panama
24,24,35.25857548,Ghana
24,24,21.94057283,Zimbabwe
23,23,24.12154975,Cameroon
22,22,30.6081636,Kenya
22.5,22,31.25327115,Lebanon
20.5,21,29.54882857,Bosnia and Herzegovina
21,21,44.74193107,Botswana
21.4,21,47.63034331,Cyprus
21,21,35.66170449,Lesotho
21,21,30.71338171,Tanzania
19,19,29.57407714,Benin
18,18,26.31945995,Oman
12,12,30.98761346,Mali
10,10,20.56606898,Guinea
